76,43.169,29.29,22.3,17.982,15.12,13.064,11.563,10.546,9.579
75,41.258,27.452,20.641,16.506,13.79,12.032,10.645,9.582,8.792
74,39.413,25.463,18.81,14.927,12.351,10.649,9.406,8.434,7.747
73,37.486,23.448,16.981,13.317,10.909,9.347,8.176,7.327,6.599
72,35.431,21.541,15.276,11.867,9.672,8.217,7.179,6.362,5.729
66,63.251,43.183,31.564,24.547,20.068,17.254,15.362,14.002,13.066
65,40.808,27.596,20.963,16.794,14.253,12.431,11.103,10.081,9.304
64,38.914,25.663,19.171,15.371,12.989,11.329,10.095,9.196,8.426
63,36.956,23.775,17.363,13.837,11.503,10.022,8.894,8.077,7.383
62,34.94,21.77,15.652,12.298,10.191,8.735,7.719,6.932,6.31
55,60.357,40.02,28.876,22.472,18.52,15.978,14.415,13.278,12.373
54,38.852,26.263,19.941,15.961,13.582,11.917,10.752,9.785,9.084
53,37.12,24.434,18.22,14.629,12.412,10.891,9.802,8.951,8.237
52,35.234,22.505,16.475,13.14,11.017,9.561,8.597,7.793,7.168
44,56.987,36.755,26.231,20.584,17.281,15.216,13.889,12.881,12.122
43,36.037,23.563,17.381,13.842,11.755,10.338,9.187,8.395,7.71
42,34.092,21.716,15.803,12.563,10.614,9.245,8.283,7.543,6.922
33,53.699,33.681,23.955,18.963,16.284,14.573,13.448,12.656,11.966
32,33.198,20.79,15.063,11.891,9.957,8.719,7.785,7.043,6.465
22,50.355,30.607,21.954,17.704,15.521,14.2,13.169,12.475,11.959
AKo,65.29,48.191,38.565,32.265,27.874,24.345,21.538,19.171,17.194
AQo,64.467,46.856,36.832,30.525,25.927,22.41,19.654,17.455,15.567
AJo,63.555,45.438,35.377,28.816,24.355,20.958,18.212,16.143,14.293
ATo,62.853,44.301,34.025,27.478,23.004,19.699,17.13,15.033,13.41
A9o,60.743,41.513,31.085,24.6,20.278,17.029,14.621,12.727,11.156
A8o,59.894,40.359,29.872,23.481,19.205,16.186,13.816,11.963,10.524
A7o,58.819,39.236,28.727,22.446,18.296,15.336,13.141,11.311,9.989
A6o,57.647,37.874,27.556,21.445,17.471,14.602,12.493,10.855,9.566
A5o,57.711,38.179,27.977,22.002,17.961,15.243,13.099,11.505,10.141
